6-digit,Proposed mapping
551111,OFFW_Office Worker
551112,OFFW_Office Worker
551211,OFFW_Office Worker
551311,OFFW_Office Worker
552111,OFFW_Office Worker
552211,OFFW_Office Worker
552311,OFFW_Office Worker
552312,OFFW_Office Worker
552313,OFFW_Office Worker
552314,OFFW_Office Worker
561111,OFFW_Office Worker
561112,OFFW_Office Worker
561113,OFFW_Office Worker
561199,OFFW_Office Worker
561211,DRIV_Driver
561212,DRIV_Driver
561311,OFFW_Office Worker
561411,OFFW_Office Worker
561412,OFFW_Office Worker
561511,OFFW_Office Worker
561611,OFFW_Office Worker
561911,OFFW_Office Worker
561912,RDSD_Roadside worker
561913,RDSD_Roadside worker
561999,OFFW_Office Worker
591112,OFFW_Office Worker
591113,STOR_Store person
591115,STOR_Store person
591116,STOR_Store person
591117,STOR_Store person
591211,STOR_Store person
591212,STOR_Store person
599111,OFFW_Office Worker
599112,OFFW_Office Worker
599211,OFFW_Office Worker
599212,OFFW_Office Worker
599213,OFFW_Office Worker
599214,OFFW_Office Worker
599215,OFFW_Office Worker
599311,OFFW_Office Worker
599411,OFFW_Office Worker
599513,DRIV_Driver
599514,PEST_Pesticide users
599515,OFFW_Office Worker
599516,OFFW_Office Worker
599517,RAIL_Railway
599518,RDSD_Roadside worker
599521,SEWG_Sewage and Water Worker
599611,OFFW_Office Worker
599612,OFFW_Office Worker
599613,OFFW_Office Worker
599711,OFFW_Office Worker
599912,OFFW_Office Worker
599913,OFFW_Office Worker
599914,OFFW_Office Worker
599915,OFFW_Office Worker
599916,OFFW_Office Worker
599999,OFFW_Office Worker
611111,RETA_Retail Workers
611112,RETA_Retail Workers
611211,RETA_Retail Workers
611311,RETA_Retail Workers
611312,RETA_Retail Workers
611313,RETA_Retail Workers
611314,RETA_Retail Workers
611399,RETA_Retail Workers
612111,OFFW_Office Worker
612112,OFFW_Office Worker
612113,OFFW_Office Worker
612114,OFFW_Office Worker
612115,OFFW_Office Worker
621111,RETA_Retail Workers
621211,RETA_Retail Workers
621311,RETA_Retail Workers
621312,RETA_Retail Workers
621411,RETA_Retail Workers
621511,RETA_Retail Workers
621611,PESA_Petrol Station Attendant
621711,RDSD_Roadside Worker
621712,RDSD_Roadside Worker
621713,RDSD_Roadside Worker
621911,WAMA_Waste management
621912,RETA_Retail Workers
621999,RETA_Retail Workers
631111,RETA_Retail Workers
631112,RETA_Retail Workers
639111,RETA_Retail Workers
639112,RETA_Retail Workers
639211,RETA_Retail Workers
639212,ANIM_Animal worker
639311,RETA_Retail Workers
639411,RETA_Retail Workers
639412,RDSD_Roadside worker
639511,RETA_Retail Workers
639911,RETA_Retail Workers
711111,CERA_Ceramics Glass Production
711112,CERA_Ceramics Glass Production
711113,CERA_Ceramics Glass Production
711114,CERA_Ceramics Glass Production
711199,CERA_Ceramics Glass Production
711211,MFAC_Metal Finishing & Coating
711311,"IMAR_Industrial Manufacturing, Assembly and repair"
711313,"IMAR_Industrial Manufacturing, Assembly and repair"
711314,"IMAR_Industrial Manufacturing, Assembly and repair"
711411,PRIN_Printing
711511,RUBB_Rubber or Plastic Industry
711512,RUBB_Rubber or Plastic Industry
711513,RUBB_Rubber or Plastic Industry
711514,RUBB_Rubber or Plastic Industry
711515,RUBB_Rubber or Plastic Industry
711516,RUBB_Rubber or Plastic Industry
711599,RUBB_Rubber or Plastic Industry
711611,TEXT_Textiles
711711,SHOE_Shoes and leather goods
711712,LEAT_Leather tanning
711713,TEXT_Textiles
711714,TEXT_Textiles
711715,TEXT_Textiles
711716,TEXT_Textiles
